x1,x2,x3,x4,x5,x6,x7,x8,x9,y
48,67,32,38,31,50,30,4,94,1
49,23,40,64,46,90,1,5,78,1
35,68,48,20,86,68,35,3,31,1
84,43,89,68,8,12,10,72,83,1
100,83,13,54,5,40,45,0,91,1
38,55,21,43,99,89,64,75,46,1
26,62,65,77,81,89,66,43,20,1
83,12,62,82,77,50,75,13,65,1
30,45,71,34,65,5,44,75,77,1
7,24,82,24,9,43,77,12,89,0
49,57,92,70,33,56,58,79,27,1
41,12,40,79,58,75,71,11,61,1
19,45,95,32,83,85,81,14,77,0
49,45,64,47,58,26,73,49,68,1
2,66,26,96,12,71,20,88,34,1
88,76,4,42,94,73,49,71,42,1
82,50,58,6,51,92,68,94,69,1
49,17,2,26,70,76,63,91,77,1
97,67,75,24,42,40,71,69,84,1
85,69,77,88,55,6,9,25,90,1
3,7,47,95,33,4,27,69,96,0
20,69,74,40,8,63,63,41,30,1
29,84,43,44,22,89,9,65,32,1
34,18,23,80,44,27,22,32,30,1
89,39,35,97,66,92,9,78,63,1
39,52,3,30,12,10,73,70,24,1
37,89,19,59,65,100,67,40,90,1
38,50,70,69,34,2,81,81,10,1
59,51,98,24,56,50,98,92,94,1
13,99,8,32,23,91,18,10,28,1
9,82,95,66,63,78,84,71,9,0
27,85,12,40,86,55,48,30,25,1
14,66,45,89,26,38,72,24,29,1
78,21,56,65,18,45,19,6,79,1
4,52,12,38,31,7,58,10,14,1
39,60,70,27,30,4,78,84,95,1
38,75,66,78,85,78,92,84,87,1
31,0,48,21,16,98,41,68,28,0
55,16,99,96,77,16,39,69,95,0
99,3,16,70,88,40,67,74,16,1
61,40,25,91,22,57,86,14,37,1
42,59,89,82,87,1,34,87,9,1
6,56,70,7,23,17,3,24,10,0
45,89,54,32,15,2,84,19,62,1
20,67,75,78,90,82,55,81,43,1
10,45,76,52,9,40,78,78,28,0
77,96,82,69,99,76,86,63,77,1
52,72,35,32,41,44,78,76,2,1
45,43,85,73,98,97,52,97,82,1
15,34,19,85,32,12,88,5,3,1
88,97,11,97,39,31,69,94,24,1
66,84,65,51,29,3,64,42,10,1
24,89,42,76,35,74,73,31,40,1
66,31,15,52,31,2,60,76,77,1
36,56,75,97,90,66,95,58,5,1
93,66,75,33,8,43,93,86,75,1
62,77,87,47,11,20,96,91,53,1
95,44,65,79,70,0,65,19,63,1
40,91,46,72,74,64,60,91,51,1
97,59,9,60,92,94,85,100,65,1
81,6,25,72,98,62,70,76,61,1
67,44,11,42,88,14,23,26,83,1
6,37,53,98,65,0,72,83,37,0
44,43,71,38,86,7,56,39,61,1
49,33,2,79,6,48,60,29,37,1
30,65,10,21,4,80,12,11,45,1
13,52,48,36,50,84,28,13,18,1
67,37,1,42,41,87,29,35,72,1
49,68,69,21,69,87,67,65,50,1
63,9,8,55,70,95,32,34,89,1
79,94,86,57,52,58,9,64,20,1
74,99,29,50,66,32,52,92,99,1
8,79,92,52,31,26,6,29,74,0
83,3,1,46,0,20,39,29,10,1
66,16,87,8,62,12,26,37,71,0
66,90,96,78,4,50,33,49,57,1
47,90,9,35,28,66,89,51,54,1
17,76,68,62,24,45,29,47,96,1
65,68,3,94,84,84,21,88,30,1
80,13,55,31,63,40,84,86,15,1
53,3,91,41,52,85,31,88,71,0
90,14,39,0,70,11,17,94,33,1
6,69,4,85,51,97,64,19,66,1
95,71,48,9,24,20,78,93,95,1
25,22,87,57,79,34,63,48,69,0
52,23,76,71,7,94,14,42,30,0
29,4,79,5,23,98,53,15,25,0
33,86,53,19,11,91,97,85,92,1
12,55,35,45,38,92,16,2,97,1
97,77,31,67,3,95,99,20,8,1
5,86,29,86,48,33,21,27,26,1
62,80,74,100,72,38,57,4,4,1
5,47,45,68,59,45,35,51,60,1
52,41,88,88,34,42,41,36,86,1
83,16,41,96,13,34,27,24,30,1
65,84,51,100,46,66,30,60,6,1
79,31,2,1,73,64,97,24,58,1
49,79,77,13,86,52,20,46,13,1
70,42,19,30,100,38,93,58,92,1
46,71,7,38,1,69,85,13,46,1
47,62,89,70,14,46,8,16,17,1
84,21,17,87,27,84,15,91,94,1
66,100,91,46,10,88,56,6,40,1
28,91,87,69,50,86,79,35,37,1
90,64,47,7,61,42,71,14,29,1
3,66,6,22,92,49,99,76,50,1
42,19,66,75,39,62,15,74,90,0
36,47,71,71,60,90,4,36,36,1
5,66,8,5,9,8,47,57,11,1
8,81,90,82,16,89,88,36,63,0
91,99,86,1,14,83,62,30,47,1
20,5,69,82,5,71,71,79,42,0
23,45,45,44,88,71,41,26,9,1
59,15,32,98,12,85,44,77,5,1
16,4,8,29,98,93,29,55,74,1
98,14,24,43,92,3,97,4,7,1
28,7,99,13,67,57,97,31,84,0
70,5,77,22,100,89,21,20,16,0
54,95,34,35,53,98,52,20,92,1
49,47,13,36,56,48,18,54,66,1
42,89,84,99,23,100,54,6,95,1
19,43,52,34,97,41,25,87,27,1
39,31,83,99,42,30,100,7,52,0
2,18,90,27,58,25,97,42,56,0
0,64,51,99,56,92,91,70,10,1
4,8,66,24,96,15,57,7,93,0
70,93,79,15,82,1,39,77,19,1
26,88,67,26,57,19,61,11,62,1
19,26,94,72,41,57,0,82,22,0
53,79,44,28,20,86,54,23,17,1
96,48,81,67,1,76,54,74,60,1
9,73,19,47,56,17,25,4,2,1
0,14,17,31,3,82,12,32,8,0
30,92,35,96,20,73,11,100,61,1
7,65,93,83,30,66,40,45,93,0
22,74,53,94,63,91,23,80,48,1
71,33,17,22,90,59,54,3,72,1
20,96,99,28,48,43,70,75,0,1
11,64,90,2,66,88,65,32,69,0
71,70,47,26,63,76,37,16,34,1
90,80,55,17,19,5,56,77,2,1
27,2,74,52,40,36,76,85,0,0
77,40,19,91,38,72,91,15,45,1
92,7,24,49,12,79,59,25,63,1
61,94,77,25,86,43,54,6,50,1
94,2,75,40,4,77,88,24,76,1
74,40,23,54,9,59,30,31,54,1
90,8,14,7,34,29,55,10,52,1
19,57,43,18,90,5,64,99,73,1
53,49,90,11,34,69,77,52,11,1
27,14,32,2,37,60,73,52,8,1
14,81,34,37,8,17,52,70,64,1
51,17,44,31,28,10,86,3,33,1
100,28,80,2,50,82,48,0,40,1
86,49,51,38,45,9,50,41,10,1
76,22,62,55,87,90,52,91,31,1
95,38,24,84,65,63,77,99,95,1
27,100,24,20,48,39,69,43,13,1
17,91,74,48,42,85,29,52,44,1
84,95,19,85,86,84,87,9,84,1
89,6,89,66,46,82,21,38,9,1
93,75,81,55,17,43,37,76,59,1
38,66,27,36,79,33,91,77,52,1
99,2,32,34,47,7,76,72,28,1
54,51,95,61,17,11,100,86,51,1
3,60,89,30,66,47,77,60,82,0
57,69,81,39,6,69,98,82,11,1
92,27,19,7,35,85,43,25,14,1
53,39,70,40,5,85,28,10,39,1
25,74,83,47,55,36,27,34,70,1
42,53,81,47,9,35,24,88,29,1
15,55,88,80,23,5,60,8,39,0
42,90,7,86,95,60,51,87,73,1
5,74,51,96,47,8,84,42,41,1
12,16,52,9,7,98,88,64,58,0
66,83,91,70,0,14,13,7,98,1
60,41,71,51,41,69,69,15,48,1
60,32,35,36,57,8,92,69,23,1
48,96,77,63,15,22,81,3,12,1
84,97,73,58,86,45,81,68,66,1
21,70,61,83,75,95,47,94,83,1
70,23,98,94,64,11,11,65,45,0
48,20,82,72,68,29,65,40,11,0
23,100,57,73,98,47,20,81,75,1
89,32,64,93,90,93,40,49,95,1
81,75,82,57,99,25,99,2,85,1
64,50,71,22,42,59,29,48,58,1
